"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      9.42
"Instparm: V",    -12.57
"Instparm: W",     22.76
"Instparm: X",      0.66
"Instparm: Y",      2.50
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","?"
"Samparm: InstrName",
"Samparm: Scale",    100.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
20.62,1,1,1,1,1.45995
20.63,0,1,1,1,1.46065
20.64,3,0.333333,1,1,1.46135
20.65,1,1,1,1,1.46205
20.66,2,0.5,1,1,1.46275
20.67,0,1,1,1,1.46345
20.68,2,0.5,1,1,1.46415
20.69,0,1,1,1,1.46485
20.7,2,0.5,1,1,1.46555
20.71,1,1,1,1,1.46625
20.72,2,0.5,1,1,1.46695
20.73,1,1,1,1,1.46765
20.74,1,1,1,1,1.46835
20.75,0,1,1,1,1.46905
20.76,1,1,1,1,1.46975
20.77,1,1,1,1,1.47045
20.78,2,0.5,1,1,1.47115
20.79,1,1,1,1,1.47185
20.8,2,0.5,1,1,1.47255
20.81,0,1,1,1,1.47325
20.82,2,0.5,1,1,1.47395
20.83,-1,1,1,1,1.47466
20.84,1,1,1,1,1.47536
20.85,0,1,1,1,1.47606
20.86,1,1,1,1,1.47676
20.87,0,1,1,1,1.47746
20.88,2,0.5,1,1,1.47816
20.89,0,1,1,1,1.47886
20.9,2,0.5,1,1,1.47956
20.91,1,1,1,1,1.48026
20.92,1,1,1,1,1.48096
20.93,0,1,1,1,1.48166
20.94,1,1,1,1,1.48236
20.95,1,1,1,1,1.48306
20.96,2,0.5,1,1,1.48376
20.97,1,1,1,1,1.48446
20.98,2,0.5,1,1,1.48516
20.99,0,1,1,1,1.48586
21,2,0.5,1,1,1.48656
21.01,1,1,1,1,1.48726
21.02,2,0.5,1,1,1.48796
21.03,1,1,1,1,1.48866
21.04,1,1,1,1,1.48936
21.05,0,1,1,1,1.49006
21.06,1,1,1,1,1.49076
21.07,0,1,1,1,1.49146
21.08,1,1,1,1,1.49215
21.09,0,1,1,1,1.49285
21.1,2,0.5,1,1,1.49355
21.11,1,1,1,1,1.49425
21.12,1,1,1,1,1.49495
21.13,0,1,1,1,1.49565
21.14,2,0.5,1,1,1.49635
21.15,0,1,1,1,1.49705
21.16,2,0.5,1,1,1.49775
21.17,1,1,1,1,1.49845
21.18,2,0.5,1,1,1.49915
21.19,1,1,1,1,1.49985
21.2,1,1,1,1,1.50055
21.21,0,1,1,1,1.50125
21.22,2,0.5,1,1,1.50195
21.23,1,1,1,1,1.50265
21.24,2,0.5,1,1,1.50335
21.25,0,1,1,1,1.50405
21.26,2,0.5,1,1,1.50475
21.27,1,1,1,1,1.50545
21.28,2,0.5,1,1,1.50615
21.29,1,1,1,1,1.50685
21.3,1,1,1,1,1.50755
21.31,1,1,1,1,1.50825
21.32,1,1,1,1,1.50895
21.33,0,1,1,1,1.50965
21.34,2,0.5,1,1,1.51035
21.35,1,1,1,1,1.51105
21.36,1,1,1,1,1.51175
21.37,0,1,1,1,1.51245
21.38,1,1,1,1,1.51315
21.39,0,1,1,1,1.51384
21.4,2,0.5,1,1,1.51454
21.41,1,1,1,1,1.51524
21.42,3,0.333333,1,1,1.51594
21.43,-2,1,1,1,1.51664
21.44,2,0.5,1,1,1.51734
21.45,1,1,1,1,1.51804
21.46,2,0.5,1,1,1.51874
21.47,0,1,1,1,1.51944
21.48,2,0.5,1,1,1.52014
21.49,1,1,1,1,1.52084
21.5,2,0.5,1,1,1.52154
21.51,0,1,1,1,1.52224
21.52,2,0.5,1,1,1.52294
21.53,1,1,1,1,1.52364
21.54,1,1,1,1,1.52434
21.55,1,1,1,1,1.52504
21.56,2,0.5,1,1,1.52573
21.57,0,1,1,1,1.52643
21.58,2,0.5,1,1,1.52713
21.59,0,1,1,1,1.52783
21.6,4,0.25,1,1,1.52853
21.61,0,1,1,1,1.52923
21.62,2,0.5,1,1,1.52993
21.63,0,1,1,1,1.53063
21.64,1,1,1,1,1.53133
21.65,1,1,1,1,1.53203
21.66,2,0.5,1,1,1.53273
21.67,0,1,1,1,1.53343
21.68,2,0.5,1,1,1.53413
21.69,0,1,1,1,1.53482
21.7,1,1,1,1,1.53552
21.71,0,1,1,1,1.53622
21.72,1,1,1,1,1.53692
21.73,1,1,1,1,1.53762
21.74,2,0.5,1,1,1.53832
21.75,-2,1,1,1,1.53902
21.76,2,0.5,1,1,1.53972
21.77,1,1,1,1,1.54042
21.78,2,0.5,1,1,1.54112
21.79,0,1,1,1,1.54182
21.8,2,0.5,1,1,1.54251
21.81,0,1,1,1,1.54321
21.82,2,0.5,1,1,1.54391
21.83,0,1,1,1,1.54461
21.84,1,1,1,1,1.54531
21.85,0,1,1,1,1.54601
21.86,3,0.333333,1,1,1.54671
21.87,0,1,1,1,1.54741
21.88,1,1,1,1,1.54811
21.89,0,1,1,1,1.54881
21.9,1,1,1,1,1.5495
21.91,1,1,1,1,1.5502
21.92,2,0.5,1,1,1.5509
21.93,0,1,1,1,1.5516
21.94,1,1,1,1,1.5523
21.95,1,1,1,1,1.553
21.96,2,0.5,1,1,1.5537
21.97,0,1,1,1,1.5544
21.98,2,0.5,1,1,1.55509
21.99,0,1,1,1,1.55579
22,2,0.5,1,1,1.55649
22.01,0,1,1,1,1.55719
22.02,2,0.5,1,1,1.55789
22.03,1,1,1,1,1.55859
22.04,1,1,1,1,1.55929
22.05,1,1,1,1,1.55999
22.06,1,1,1,1,1.56068
22.07,1,1,1,1,1.56138
22.08,2,0.5,1,1,1.56208
22.09,1,1,1,1,1.56278
22.1,2,0.5,1,1,1.56348
22.11,-1,1,1,1,1.56418
22.12,2,0.5,1,1,1.56488
22.13,1,1,1,1,1.56558
22.14,1,1,1,1,1.56627
22.15,0,1,1,1,1.56697
22.16,2,0.5,1,1,1.56767
22.17,-2,1,1,1,1.56837
22.18,2,0.5,1,1,1.56907
22.19,1,1,1,1,1.56977
22.2,1,1,1,1,1.57047
22.21,1,1,1,1,1.57116
22.22,1,1,1,1,1.57186
22.23,0,1,1,1,1.57256
22.24,2,0.5,1,1,1.57326
22.25,1,1,1,1,1.57396
22.26,2,0.5,1,1,1.57466
22.27,1,1,1,1,1.57536
22.28,2,0.5,1,1,1.57605
22.29,0,1,1,1,1.57675
22.3,2,0.5,1,1,1.57745
22.31,1,1,1,1,1.57815
22.32,1,1,1,1,1.57885
22.33,0,1,1,1,1.57955
22.34,2,0.5,1,1,1.58024
22.35,0,1,1,1,1.58094
22.36,1,1,1,1,1.58164
22.37,0,1,1,1,1.58234
22.38,1,1,1,1,1.58304
22.39,0,1,1,1,1.58374
22.4,2,0.5,1,1,1.58443
22.41,0,1,1,1,1.58513
22.42,2,0.5,1,1,1.58583
22.43,1,1,1,1,1.58653
22.44,1,1,1,1,1.58723
22.45,0,1,1,1,1.58793
22.46,1,1,1,1,1.58862
22.47,1,1,1,1,1.58932
22.48,2,0.5,1,1,1.59002
22.49,-1,1,1,1,1.59072
22.5,2,0.5,1,1,1.59142
22.51,0,1,1,1,1.59211
22.52,3,0.333333,1,1,1.59281
22.53,0,1,1,1,1.59351
22.54,2,0.5,1,1,1.59421
22.55,0,1,1,1,1.59491
22.56,1,1,1,1,1.59561
22.57,1,1,1,1,1.5963
22.58,1,1,1,1,1.597
22.59,1,1,1,1,1.5977
22.6,2,0.5,1,1,1.5984
22.61,1,1,1,1,1.5991
22.62,2,0.5,1,1,1.59979
22.63,1,1,1,1,1.60049
22.64,2,0.5,1,1,1.60119
22.65,1,1,1,1,1.60189
22.66,1,1,1,1,1.60259
22.67,0,1,1,1,1.60328
22.68,1,1,1,1,1.60398
22.69,1,1,1,1,1.60468
22.7,2,0.5,1,1,1.60538
22.71,1,1,1,1,1.60608
22.72,1,1,1,1,1.60677
22.73,0,1,1,1,1.60747
22.74,2,0.5,1,1,1.60817
22.75,-1,1,1,1,1.60887
22.76,2,0.5,1,1,1.60957
22.77,1,1,1,1,1.61026
22.78,1,1,1,1,1.61096
22.79,1,1,1,1,1.61166
22.8,1,1,1,1,1.61236
22.81,0,1,1,1,1.61305
22.82,1,1,1,1,1.61375
22.83,1,1,1,1,1.61445
22.84,2,0.5,1,1,1.61515
22.85,0,1,1,1,1.61585
22.86,2,0.5,1,1,1.61654
22.87,1,1,1,1,1.61724
22.88,1,1,1,1,1.61794
22.89,0,1,1,1,1.61864
22.9,2,0.5,1,1,1.61933
22.91,1,1,1,1,1.62003
22.92,2,0.5,1,1,1.62073
22.93,0,1,1,1,1.62143
22.94,2,0.5,1,1,1.62212
22.95,1,1,1,1,1.62282
22.96,1,1,1,1,1.62352
22.97,0,1,1,1,1.62422
22.98,2,0.5,1,1,1.62492
22.99,0,1,1,1,1.62561
23,2,0.5,1,1,1.62631
23.01,1,1,1,1,1.62701
23.02,2,0.5,1,1,1.62771
23.03,1,1,1,1,1.6284
23.04,1,1,1,1,1.6291
23.05,0,1,1,1,1.6298
23.06,2,0.5,1,1,1.6305
23.07,0,1,1,1,1.63119
23.08,3,0.333333,1,1,1.63189
23.09,-1,1,1,1,1.63259
23.1,2,0.5,1,1,1.63329
23.11,-1,1,1,1,1.63398
23.12,2,0.5,1,1,1.63468
23.13,0,1,1,1,1.63538
23.14,2,0.5,1,1,1.63608
23.15,0,1,1,1,1.63677
23.16,1,1,1,1,1.63747
23.17,0,1,1,1,1.63817
23.18,2,0.5,1,1,1.63886
23.19,0,1,1,1,1.63956
23.2,1,1,1,1,1.64026
23.21,1,1,1,1,1.64096
23.22,2,0.5,1,1,1.64165
23.23,0,1,1,1,1.64235
23.24,1,1,1,1,1.64305
23.25,1,1,1,1,1.64375
23.26,2,0.5,1,1,1.64444
23.27,0,1,1,1,1.64514
23.28,2,0.5,1,1,1.64584
23.29,1,1,1,1,1.64653
23.3,2,0.5,1,1,1.64723
23.31,0,1,1,1,1.64793
23.32,1,1,1,1,1.64863
23.33,1,1,1,1,1.64932
23.34,2,0.5,1,1,1.65002
23.35,1,1,1,1,1.65072
23.36,1,1,1,1,1.65141
23.37,1,1,1,1,1.65211
23.38,1,1,1,1,1.65281
23.39,0,1,1,1,1.65351
23.4,1,1,1,1,1.6542
23.41,0,1,1,1,1.6549
23.42,1,1,1,1,1.6556
23.43,0,1,1,1,1.65629
23.44,2,0.5,1,1,1.65699
23.45,0,1,1,1,1.65769
23.46,1,1,1,1,1.65839
23.47,0,1,1,1,1.65908
23.48,2,0.5,1,1,1.65978
23.49,1,1,1,1,1.66048
23.5,4,0.25,1,1,1.66117
23.51,0,1,1,1,1.66187
23.52,1,1,1,1,1.66257
23.53,0,1,1,1,1.66326
23.54,2,0.5,1,1,1.66396
23.55,1,1,1,1,1.66466
23.56,1,1,1,1,1.66535
23.57,0,1,1,1,1.66605
23.58,3,0.333333,1,1,1.66675
23.59,0,1,1,1,1.66745
23.6,2,0.5,1,1,1.66814
23.61,1,1,1,1,1.66884
23.62,2,0.5,1,1,1.66954
23.63,0,1,1,1,1.67023
23.64,2,0.5,1,1,1.67093
23.65,0,1,1,1,1.67163
23.66,2,0.5,1,1,1.67232
23.67,0,1,1,1,1.67302
23.68,2,0.5,1,1,1.67372
23.69,0,1,1,1,1.67441
23.7,2,0.5,1,1,1.67511
23.71,0,1,1,1,1.67581
23.72,3,0.333333,1,1,1.6765
23.73,-2,1,1,1,1.6772
23.74,1,1,1,1,1.6779
23.75,-1,1,1,1,1.67859
23.76,3,0.333333,1,1,1.67929
23.77,1,1,1,1,1.67999
23.78,3,0.333333,1,1,1.68068
23.79,0,1,1,1,1.68138
23.8,1,1,1,1,1.68208
23.81,1,1,1,1,1.68277
23.82,2,0.5,1,1,1.68347
23.83,0,1,1,1,1.68417
23.84,1,1,1,1,1.68486
23.85,1,1,1,1,1.68556
23.86,2,0.5,1,1,1.68626
23.87,0,1,1,1,1.68695
23.88,2,0.5,1,1,1.68765
23.89,0,1,1,1,1.68834
23.9,1,1,1,1,1.68904
23.91,1,1,1,1,1.68974
23.92,1,1,1,1,1.69043
23.93,1,1,1,1,1.69113
23.94,2,0.5,1,1,1.69183
23.95,0,1,1,1,1.69252
23.96,2,0.5,1,1,1.69322
23.97,-1,1,1,1,1.69392
23.98,1,1,1,1,1.69461
23.99,0,1,1,1,1.69531
24,1,1,1,1,1.696
24.01,1,1,1,1,1.6967
24.02,2,0.5,1,1,1.6974
24.03,0,1,1,1,1.69809
24.04,2,0.5,1,1,1.69879
24.05,0,1,1,1,1.69949
24.06,1,1,1,1,1.70018
24.07,1,1,1,1,1.70088
24.08,2,0.5,1,1,1.70157
24.09,0,1,1,1,1.70227
24.1,1,1,1,1,1.70297
24.11,0,1,1,1,1.70366
24.12,2,0.5,1,1,1.70436
24.13,0,1,1,1,1.70506
24.14,1,1,1,1,1.70575
24.15,1,1,1,1,1.70645
24.16,2,0.5,1,1,1.70714
24.17,0,1,1,1,1.70784
24.18,1,1,1,1,1.70854
24.19,1,1,1,1,1.70923
24.2,2,0.5,1,1,1.70993
24.21,-1,1,1,1,1.71062
24.22,2,0.5,1,1,1.71132
24.23,-1,1,1,1,1.71202
24.24,2,0.5,1,1,1.71271
24.25,0,1,1,1,1.71341
24.26,1,1,1,1,1.7141
24.27,1,1,1,1,1.7148
24.28,2,0.5,1,1,1.7155
24.29,1,1,1,1,1.71619
24.3,5,0.2,1,1,1.71689
24.31,1,1,1,1,1.71758
24.32,2,0.5,1,1,1.71828
24.33,0,1,1,1,1.71898
24.34,1,1,1,1,1.71967
24.35,0,1,1,1,1.72037
24.36,2,0.5,1,1,1.72106
24.37,1,1,1,1,1.72176
24.38,1,1,1,1,1.72246
24.39,0,1,1,1,1.72315
24.4,1,1,1,1,1.72385
24.41,0,1,1,1,1.72454
24.42,2,0.5,1,1,1.72524
24.43,1,1,1,1,1.72593
24.44,2,0.5,1,1,1.72663
24.45,0,1,1,1,1.72733
24.46,2,0.5,1,1,1.72802
24.47,0,1,1,1,1.72872
24.48,2,0.5,1,1,1.72941
24.49,1,1,1,1,1.73011
24.5,2,0.5,1,1,1.7308
24.51,1,1,1,1,1.7315
24.52,1,1,1,1,1.7322
24.53,1,1,1,1,1.73289
24.54,2,0.5,1,1,1.73359
24.55,1,1,1,1,1.73428
24.56,1,1,1,1,1.73498
24.57,-2,1,1,1,1.73567
24.58,1,1,1,1,1.73637
24.59,0,1,1,1,1.73706
24.6,2,0.5,1,1,1.73776
24.61,0,1,1,1,1.73846
24.62,1,1,1,1,1.73915
24.63,0,1,1,1,1.73985
24.64,2,0.5,1,1,1.74054
24.65,0,1,1,1,1.74124
24.66,2,0.5,1,1,1.74193
24.67,0,1,1,1,1.74263
24.68,1,1,1,1,1.74332
24.69,0,1,1,1,1.74402
24.7,2,0.5,1,1,1.74471
24.71,0,1,1,1,1.74541
24.72,1,1,1,1,1.7461
24.73,0,1,1,1,1.7468
24.74,2,0.5,1,1,1.7475
24.75,1,1,1,1,1.74819
24.76,2,0.5,1,1,1.74889
24.77,1,1,1,1,1.74958
24.78,1,1,1,1,1.75028
24.79,1,1,1,1,1.75097
24.8,2,0.5,1,1,1.75167
24.81,1,1,1,1,1.75236
24.82,2,0.5,1,1,1.75306
24.83,1,1,1,1,1.75375
24.84,2,0.5,1,1,1.75445
24.85,1,1,1,1,1.75514
24.86,2,0.5,1,1,1.75584
24.87,-1,1,1,1,1.75653
24.88,4,0.25,1,1,1.75723
24.89,0,1,1,1,1.75792
24.9,1,1,1,1,1.75862
24.91,1,1,1,1,1.75931
24.92,2,0.5,1,1,1.76001
24.93,0,1,1,1,1.7607
24.94,1,1,1,1,1.7614
24.95,0,1,1,1,1.76209
24.96,2,0.5,1,1,1.76279
24.97,1,1,1,1,1.76348
24.98,1,1,1,1,1.76418
24.99,1,1,1,1,1.76487
25,1,1,1,1,1.76557
25.01,0,1,1,1,1.76626
25.02,2,0.5,1,1,1.76696
25.03,1,1,1,1,1.76765
25.04,2,0.5,1,1,1.76835
25.05,1,1,1,1,1.76904
25.06,1,1,1,1,1.76974
25.07,0,1,1,1,1.77043
25.08,1,1,1,1,1.77113
25.09,0,1,1,1,1.77182
25.1,3,0.333333,1,1,1.77252
25.11,0,1,1,1,1.77321
25.12,1,1,1,1,1.77391
25.13,1,1,1,1,1.7746
25.14,1,1,1,1,1.7753
25.15,1,1,1,1,1.77599
25.16,1,1,1,1,1.77669
25.17,0,1,1,1,1.77738
25.18,2,0.5,1,1,1.77808
25.19,0,1,1,1,1.77877
25.2,1,1,1,1,1.77947
25.21,1,1,1,1,1.78016
25.22,2,0.5,1,1,1.78086
25.23,0,1,1,1,1.78155
25.24,2,0.5,1,1,1.78225
25.25,0,1,1,1,1.78294
25.26,2,0.5,1,1,1.78363
25.27,0,1,1,1,1.78433
25.28,1,1,1,1,1.78502
25.29,0,1,1,1,1.78572
25.3,1,1,1,1,1.78641
25.31,0,1,1,1,1.78711
25.32,2,0.5,1,1,1.7878
25.33,0,1,1,1,1.7885
25.34,2,0.5,1,1,1.78919
25.35,0,1,1,1,1.78989
25.36,2,0.5,1,1,1.79058
25.37,1,1,1,1,1.79128
25.38,2,0.5,1,1,1.79197
25.39,1,1,1,1,1.79266
25.4,2,0.5,1,1,1.79336
25.41,0,1,1,1,1.79405
25.42,2,0.5,1,1,1.79475
25.43,0,1,1,1,1.79544
25.44,1,1,1,1,1.79614
25.45,1,1,1,1,1.79683
25.46,1,1,1,1,1.79753
25.47,0,1,1,1,1.79822
25.48,2,0.5,1,1,1.79891
25.49,1,1,1,1,1.79961
25.5,2,0.5,1,1,1.8003
25.51,0,1,1,1,1.801
25.52,2,0.5,1,1,1.80169
25.53,0,1,1,1,1.80239
25.54,1,1,1,1,1.80308
25.55,1,1,1,1,1.80377
25.56,1,1,1,1,1.80447
25.57,-1,1,1,1,1.80516
25.58,1,1,1,1,1.80586
25.59,-1,1,1,1,1.80655
25.6,1,1,1,1,1.80724
25.61,0,1,1,1,1.80794
25.62,2,0.5,1,1,1.80863
25.63,0,1,1,1,1.80933
25.64,1,1,1,1,1.81002
25.65,0,1,1,1,1.81072
25.66,1,1,1,1,1.81141
25.67,1,1,1,1,1.8121
25.68,1,1,1,1,1.8128
25.69,0,1,1,1,1.81349
25.7,3,0.333333,1,1,1.81419
25.71,1,1,1,1,1.81488
25.72,4,0.25,1,1,1.81557
25.73,0,1,1,1,1.81627
25.74,2,0.5,1,1,1.81696
25.75,-1,1,1,1,1.81766
25.76,1,1,1,1,1.81835
25.77,1,1,1,1,1.81904
25.78,3,0.333333,1,1,1.81974
25.79,0,1,1,1,1.82043
25.8,1,1,1,1,1.82113
25.81,0,1,1,1,1.82182
25.82,2,0.5,1,1,1.82251
25.83,1,1,1,1,1.82321
25.84,2,0.5,1,1,1.8239
25.85,-1,1,1,1,1.82459
25.86,1,1,1,1,1.82529
25.87,-1,1,1,1,1.82598
25.88,2,0.5,1,1,1.82668
25.89,0,1,1,1,1.82737
25.9,2,0.5,1,1,1.82806
25.91,0,1,1,1,1.82876
25.92,3,0.333333,1,1,1.82945
25.93,-1,1,1,1,1.83014
25.94,2,0.5,1,1,1.83084
25.95,1,1,1,1,1.83153
25.96,2,0.5,1,1,1.83223
25.97,1,1,1,1,1.83292
25.98,2,0.5,1,1,1.83361
25.99,-1,1,1,1,1.83431
26,1,1,1,1,1.835
26.01,-1,1,1,1,1.83569
26.02,1,1,1,1,1.83639
26.03,1,1,1,1,1.83708
26.04,2,0.5,1,1,1.83777
26.05,0,1,1,1,1.83847
26.06,1,1,1,1,1.83916
26.07,0,1,1,1,1.83986
26.08,1,1,1,1,1.84055
26.09,0,1,1,1,1.84124
26.1,1,1,1,1,1.84194
26.11,-1,1,1,1,1.84263
26.12,1,1,1,1,1.84332
26.13,0,1,1,1,1.84402
26.14,1,1,1,1,1.84471
26.15,1,1,1,1,1.8454
26.16,2,0.5,1,1,1.8461
26.17,1,1,1,1,1.84679
26.18,2,0.5,1,1,1.84748
26.19,1,1,1,1,1.84818
26.2,3,0.333333,1,1,1.84887
26.21,1,1,1,1,1.84956
26.22,1,1,1,1,1.85026
26.23,1,1,1,1,1.85095
26.24,1,1,1,1,1.85164
26.25,1,1,1,1,1.85234
26.26,2,0.5,1,1,1.85303
26.27,-2,1,1,1,1.85372
26.28,2,0.5,1,1,1.85442
26.29,0,1,1,1,1.85511
26.3,1,1,1,1,1.8558
26.31,1,1,1,1,1.8565
26.32,2,0.5,1,1,1.85719
26.33,0,1,1,1,1.85788
26.34,2,0.5,1,1,1.85858
26.35,-2,1,1,1,1.85927
26.36,1,1,1,1,1.85996
26.37,0,1,1,1,1.86065
26.38,4,0.25,1,1,1.86135
26.39,-1,1,1,1,1.86204
26.4,1,1,1,1,1.86273
26.41,0,1,1,1,1.86343
26.42,2,0.5,1,1,1.86412
26.43,1,1,1,1,1.86481
26.44,2,0.5,1,1,1.86551
26.45,0,1,1,1,1.8662
26.46,1,1,1,1,1.86689
26.47,1,1,1,1,1.86758
26.48,3,0.333333,1,1,1.86828
26.49,0,1,1,1,1.86897
26.5,1,1,1,1,1.86966
26.51,1,1,1,1,1.87036
26.52,2,0.5,1,1,1.87105
26.53,1,1,1,1,1.87174
26.54,2,0.5,1,1,1.87244
26.55,-1,1,1,1,1.87313
26.56,2,0.5,1,1,1.87382
26.57,1,1,1,1,1.87451
26.58,2,0.5,1,1,1.87521
26.59,0,1,1,1,1.8759
26.6,2,0.5,1,1,1.87659
26.61,0,1,1,1,1.87728
26.62,2,0.5,1,1,1.87798
26.63,0,1,1,1,1.87867
26.64,2,0.5,1,1,1.87936
26.65,0,1,1,1,1.88006
26.66,3,0.333333,1,1,1.88075
26.67,0,1,1,1,1.88144
26.68,2,0.5,1,1,1.88213
26.69,0,1,1,1,1.88283
26.7,2,0.5,1,1,1.88352
26.71,1,1,1,1,1.88421
26.72,1,1,1,1,1.8849
26.73,1,1,1,1,1.8856
26.74,2,0.5,1,1,1.88629
26.75,0,1,1,1,1.88698
26.76,2,0.5,1,1,1.88767
26.77,0,1,1,1,1.88837
26.78,2,0.5,1,1,1.88906
26.79,0,1,1,1,1.88975
26.8,1,1,1,1,1.89044
26.81,0,1,1,1,1.89114
26.82,2,0.5,1,1,1.89183
26.83,1,1,1,1,1.89252
26.84,2,0.5,1,1,1.89321
26.85,1,1,1,1,1.89391
26.86,1,1,1,1,1.8946
26.87,-1,1,1,1,1.89529
26.88,1,1,1,1,1.89598
26.89,1,1,1,1,1.89668
26.9,1,1,1,1,1.89737
26.91,0,1,1,1,1.89806
26.92,2,0.5,1,1,1.89875
26.93,0,1,1,1,1.89945
26.94,2,0.5,1,1,1.90014
26.95,0,1,1,1,1.90083
26.96,1,1,1,1,1.90152
26.97,0,1,1,1,1.90221
26.98,2,0.5,1,1,1.90291
26.99,1,1,1,1,1.9036
27,2,0.5,1,1,1.90429
27.01,0,1,1,1,1.90498
27.02,2,0.5,1,1,1.90568
27.03,1,1,1,1,1.90637
27.04,2,0.5,1,1,1.90706
27.05,0,1,1,1,1.90775
27.06,1,1,1,1,1.90844
27.07,0,1,1,1,1.90914
27.08,1,1,1,1,1.90983
27.09,0,1,1,1,1.91052
27.1,2,0.5,1,1,1.91121
27.11,1,1,1,1,1.9119
27.12,1,1,1,1,1.9126
27.13,0,1,1,1,1.91329
27.14,2,0.5,1,1,1.91398
27.15,0,1,1,1,1.91467
27.16,2,0.5,1,1,1.91536
27.17,0,1,1,1,1.91606
27.18,2,0.5,1,1,1.91675
27.19,0,1,1,1,1.91744
27.2,2,0.5,1,1,1.91813
27.21,0,1,1,1,1.91882
27.22,2,0.5,1,1,1.91952
27.23,1,1,1,1,1.92021
27.24,3,0.333333,1,1,1.9209
27.25,0,1,1,1,1.92159
27.26,2,0.5,1,1,1.92228
27.27,1,1,1,1,1.92298
27.28,2,0.5,1,1,1.92367
27.29,0,1,1,1,1.92436
