lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma_sample,sigma_exp[1],sigma_exp[2],phase_mu[1],phase_mu[2],group_effect[1],group_effect[2],group_effect[3],group_effect[4],group_effect[5],group_effect[6],group_effect[7]
442.822,0.994602,0.0761695,5.0,31.0,0.0,-440.893,0.00974794,0.00348446,0.020747,0.110305,0.347648,-0.00767695,-0.000615318,0.00107978,0.00562219,0.0149757,0.0227796,0.0118657
441.26,0.950794,0.0761695,4.0,15.0,0.0,-436.049,0.0108994,0.00355666,0.0230319,0.109476,0.348869,-0.00630929,-0.00172417,0.004251,0.0059336,0.0166397,0.0193879,0.0122696
445.718,0.868861,0.0761695,6.0,127.0,0.0,-438.461,0.00878261,0.00299182,0.0166139,0.116371,0.355483,-0.014259,-0.00716577,-0.00431022,-0.000378509,0.0092922,0.0156892,0.00532159
443.982,0.983889,0.0761695,5.0,31.0,0.0,-442.318,0.00828429,0.00297698,0.0168014,0.116267,0.349191,-0.0118986,-0.00724389,-0.00201402,-0.000435337,0.00931362,0.0136966,0.00524266
441.78,0.696014,0.0761695,6.0,63.0,0.0,-434.612,0.0198133,0.00316884,0.0203057,0.126791,0.360345,-0.0227859,-0.0181292,-0.0127055,-0.0111053,-0.00111239,0.00337118,-0.00530372
440.49,0.798645,0.0761695,5.0,31.0,0.0,-432.775,0.017591,0.00320563,0.0170266,0.125096,0.365586,-0.0210008,-0.0173712,-0.0117924,-0.00975982,-0.000461075,0.00411978,-0.00401024
441.854,0.989965,0.0761695,6.0,63.0,0.0,-433.701,0.0124659,0.00371465,0.0192082,0.113582,0.348217,-0.0117416,-0.00673788,2.60485e-05,0.00066195,0.0123273,0.0175162,0.00956624
444.665,0.996758,0.0761695,5.0,31.0,0.0,-439.433,0.00769729,0.00306754,0.0187825,0.112659,0.353321,-0.00981733,-0.00383655,-0.000987819,0.00234508,0.0140158,0.0171934,0.00924259
441.544,0.946815,0.0761695,5.0,63.0,0.0,-434.991,0.00647519,0.00317489,0.0196387,0.114097,0.349813,-0.0118686,-0.00784068,-0.00111435,0.000870982,0.011285,0.0183213,0.00855796
439.455,0.922923,0.0761695,6.0,127.0,0.0,-431.921,0.0100961,0.00283487,0.0197214,0.111548,0.350844,-0.00936814,-0.00093425,0.000267871,0.00340009,0.0138333,0.0202463,0.007577
440.784,0.964219,0.0761695,4.0,15.0,0.0,-436.92,0.00983152,0.00303017,0.0199181,0.111518,0.346772,-0.00835138,-0.00522848,0.00187657,0.0048278,0.0143279,0.0187256,0.0130559
441.954,0.874786,0.0761695,4.0,15.0,0.0,-434.675,0.013276,0.00317424,0.0217133,0.112359,0.347705,-0.00875331,-0.00531459,0.000204749,0.00466629,0.012447,0.0185698,0.0118567
444.333,0.999414,0.0761695,6.0,63.0,0.0,-439.219,0.00728016,0.00280443,0.0217599,0.114598,0.352664,-0.0118816,-0.00563239,-0.00174836,0.000856234,0.0121996,0.0170304,0.00565364
441.799,0.721595,0.0761695,4.0,15.0,0.0,-439.027,0.00681756,0.00279349,0.0211562,0.114352,0.354568,-0.0123431,-0.0078056,-0.00265009,0.00171547,0.0105862,0.0163328,0.00845144
443.86,0.922152,0.0761695,4.0,15.0,0.0,-436.94,0.00767731,0.00276158,0.020723,0.115139,0.355306,-0.0126022,-0.0058413,-0.00428322,0.000801428,0.0120054,0.0159488,0.00652603
438.371,0.793026,0.0761695,6.0,63.0,0.0,-434.481,0.0206949,0.00378155,0.0185991,0.119656,0.36151,-0.016803,-0.0110468,-0.00988013,-0.00466254,0.00657619,0.0107145,0.00182211
441.993,0.996627,0.0761695,5.0,63.0,0.0,-433.894,0.00801421,0.00355589,0.0201237,0.118625,0.350818,-0.0139177,-0.00813168,-0.00673537,-0.0027439,0.00966795,0.012227,0.00373898
443.173,0.952262,0.0761695,5.0,31.0,0.0,-438.441,0.00861437,0.00348166,0.0170768,0.119759,0.359193,-0.0156658,-0.00924733,-0.0070668,-0.00377567,0.00780376,0.0104582,0.00339358
443.557,0.953514,0.0761695,5.0,31.0,0.0,-439.256,0.0101804,0.00318484,0.0188958,0.119863,0.353455,-0.0170326,-0.0114775,-0.00936748,-0.00529022,0.00545573,0.0108347,0.0014258
445.626,0.909094,0.0761695,6.0,95.0,0.0,-439.815,0.00875584,0.003246,0.020663,0.115049,0.347931,-0.0113061,-0.00561726,-0.00349207,0.000563576,0.0112303,0.0168373,0.00731295
443.708,0.88747,0.0761695,6.0,95.0,0.0,-439.905,0.00931136,0.00287942,0.017591,0.121399,0.355668,-0.0193225,-0.0136044,-0.00782904,-0.00591619,0.00360655,0.00857152,-7.61618e-05
442.514,0.993617,0.0761695,5.0,63.0,0.0,-438.518,0.00701091,0.00268321,0.0188704,0.120616,0.359085,-0.0169355,-0.0125305,-0.00692055,-0.00626163,0.00488084,0.00959837,0.00230552
444.097,0.999967,0.0761695,6.0,79.0,0.0,-439.714,0.0133246,0.00371218,0.0186336,0.114242,0.349345,-0.0105041,-0.00438108,-0.00250108,0.00250072,0.0115543,0.0161307,0.00775498
444.055,0.990724,0.0761695,5.0,31.0,0.0,-441.236,0.008912,0.00368834,0.0181401,0.114498,0.351071,-0.00984756,-0.00634788,-0.000673866,-9.03017e-05,0.0104152,0.0167962,0.00813944
443.224,0.985558,0.0761695,5.0,31.0,0.0,-439.583,0.0124594,0.00379901,0.01688,0.113386,0.351754,-0.0106602,-0.00401319,-0.000475046,0.00184977,0.0117888,0.0187265,0.00836092
444.733,0.936029,0.0761695,4.0,31.0,0.0,-436.266,0.00830677,0.00345958,0.0173919,0.113268,0.350792,-0.00879199,-0.00418353,-0.00013125,0.00349328,0.0130968,0.0164772,0.00916734
443.206,0.980794,0.0761695,4.0,15.0,0.0,-440.932,0.00755313,0.00340237,0.0175495,0.112606,0.35143,-0.0100169,-0.00520487,-0.00047282,0.00197345,0.01353,0.0187597,0.0104151
439.979,0.867477,0.0761695,6.0,63.0,0.0,-434.275,0.019088,0.00372276,0.0176249,0.111227,0.34493,-0.00830115,-0.00203427,0.0021432,0.00523005,0.0160262,0.0197689,0.0128296
444.44,0.993083,0.0761695,5.0,47.0,0.0,-432.683,0.0120864,0.003022,0.0184109,0.110393,0.348761,-0.00664398,-0.00202331,0.00206166,0.00454141,0.0142854,0.0206607,0.0101364
441.48,0.95274,0.0761695,4.0,31.0,0.0,-435.99,0.0123524,0.00291801,0.0189967,0.110853,0.348985,-0.00797812,-0.00267846,0.00380994,0.00400211,0.0172415,0.0214615,0.0107458
433.209,0.562786,0.0761695,5.0,31.0,0.0,-424.838,0.00784339,0.00315202,0.0187786,0.109855,0.350015,-0.00502163,0.00140027,0.0027498,0.00880203,0.0157081,0.0216357,0.0146671
442.296,1.0,0.0761695,4.0,15.0,0.0,-431.063,0.00900965,0.00316812,0.0178699,0.108524,0.349159,-0.0067848,0.000165063,0.00458408,0.00639691,0.015581,0.0221663,0.0133765
443.789,0.948053,0.0761695,6.0,63.0,0.0,-435.552,0.0106819,0.00365524,0.0205473,0.118194,0.359771,-0.0154243,-0.00971233,-0.00634667,-0.00202568,0.0065491,0.0138411,0.00494706
441.894,0.993526,0.0761695,5.0,31.0,0.0,-438.898,0.0065904,0.00258897,0.0211429,0.116714,0.349219,-0.0133198,-0.00748216,-0.00323681,-0.00111402,0.0100089,0.0135076,0.00408205
442.471,0.998798,0.0761695,5.0,63.0,0.0,-436.348,0.011709,0.00259182,0.0199148,0.113398,0.355759,-0.0108489,-0.00562859,-0.0014714,0.00254864,0.0124102,0.0191486,0.00993469
440.71,0.784178,0.0761695,5.0,47.0,0.0,-436.231,0.0103307,0.00331272,0.0182504,0.112448,0.341845,-0.00856863,-0.00415148,0.000343483,0.00404108,0.013175,0.020678,0.0111256
434.788,0.964372,0.0761695,3.0,7.0,0.0,-432.59,0.00988754,0.00340334,0.0183678,0.111879,0.341182,-0.00933083,-0.00549911,-0.0010283,0.00229441,0.0136981,0.0212938,0.0119936
441.327,0.990068,0.0761695,4.0,31.0,0.0,-430.14,0.0105524,0.00390216,0.0204896,0.112463,0.35558,-0.0103429,-0.00343255,0.000227552,0.00187785,0.012223,0.0189657,0.00843699
