Two Theta,Summed Intensity
42.050000000000004,1443945.4050650892
42.07000000000001,1490842.6486379418
42.09,1453357.789434295
42.11000000000001,1415186.852555412
42.13,1418220.030237496
42.150000000000006,1453991.237919259
42.17,1454493.346595809
42.190000000000005,1409311.4063359862
42.21,1492479.0287503311
42.230000000000004,1492849.5928914142
42.25000000000001,1415034.5407364347
42.27,1496349.422867065
42.290000000000006,1536970.4855067674
42.31,1516096.438147323
42.330000000000005,1523009.6687962927
42.35,1550365.7834168042
42.370000000000005,1579694.2462811342
42.39000000000001,1550287.9806901843
42.410000000000004,1591034.3372696447
42.43000000000001,1600425.024289999
42.45,1658417.7849517472
42.470000000000006,1570375.324679937
42.49,1620110.9678987863
42.510000000000005,1708714.6229088288
42.53000000000001,1723666.3417787189
42.550000000000004,1707554.0979917555
42.57000000000001,1750516.4297483426
42.59,1866126.0090025358
42.61000000000001,1888001.262139269
42.63,1967605.0293495029
42.650000000000006,2090078.4845246829
42.67,2203917.4314994807
42.690000000000005,2288129.9702840378
42.71,2368731.3468059343
42.730000000000004,2561104.0782415587
42.75000000000001,2766619.1954382304
42.77,3163205.0000492176
42.790000000000006,3556555.137596277
42.81,3976765.382394422
42.830000000000005,4324898.080932719
42.85,4846961.009151625
42.870000000000005,5200755.478589453
42.89000000000001,5624181.386110163
42.910000000000004,5699973.380577403
42.93000000000001,5609530.758632531
42.95,5459055.468054727
42.970000000000006,5261268.740754358
42.99,5117474.717329633
43.010000000000005,4931725.757425151
43.03000000000001,4461885.156079409
43.050000000000004,4188883.2609396153
43.07000000000001,3983461.2403700235
43.09,3817557.7852809806
43.11000000000001,3471818.600489985
43.13,3245655.487940902
43.150000000000006,3154886.6961980513
43.17,3062115.695129187
43.190000000000005,2871026.6699746996
43.21,2943040.427504889
43.230000000000004,2893409.679881629
43.25000000000001,2821896.827042308
43.27,2845729.007558148
43.290000000000006,2799142.0062377686
43.31,2832756.9295298615
43.330000000000005,2842928.1153133796
43.35,3051517.5390796624
43.370000000000005,3084628.8919033087
43.39000000000001,3208921.508477975
43.410000000000004,3300999.5301112696
43.43000000000001,3477797.202754643
43.45,3682973.591811101
43.470000000000006,3888152.4515273953
43.49,4062140.114449128
43.510000000000005,4407537.696257662
43.53000000000001,4673238.519866835
43.550000000000004,4911940.969928312
43.57,5218062.05551205
43.59,5544439.400633104
43.61000000000001,5912011.056465686
43.63,6185397.079554711
43.650000000000006,6642188.55418598
43.67,7043477.187596589
43.690000000000005,7385995.659880693
43.71,7820351.217843144
43.730000000000004,8524101.890548723
43.75000000000001,9170847.54806716
43.77,9865498.152308978
43.790000000000006,10631715.677263409
43.81,11593014.646647148
43.830000000000005,12404728.55729628
43.85,13635555.588036684
43.870000000000005,14657423.662163189
43.89000000000001,15322031.63983066
43.910000000000004,15789514.622758634
43.93000000000001,15958482.309152912
43.95,15978557.396186674
43.970000000000006,15411801.34090644
43.99,14787725.793427171
44.010000000000005,13778543.103739744
44.03,12702058.44477573
44.050000000000004,11589689.464334657
44.07,10446573.35120547
44.09,9285352.14775348
44.11000000000001,8367448.577698121
44.13,7124645.669892448
44.150000000000006,6345408.344852078
44.17,5559717.31198089
44.190000000000005,4920893.744398881
