x            y_obs        weight       y_calc       y_bkg        
44.72        2489.0       0.0004       2455.772     100.0        
44.73        2166.0       0.00046      2176.847     100.0        
44.74        1948.665     0.00051      1897.332     100.0        
44.75        1618.0       0.00062      1629.485     100.0        
44.76        1433.0       0.0007       1382.345     100.0        
44.77        1147.0       0.00087      1161.837     100.0        
44.78        972.0        0.00103      971.066      100.0        
44.79        801.0        0.00125      810.69       100.0        
44.8         697.751      0.00143      679.375      100.0        
44.81        550.699      0.00182      574.35       100.0        
44.82        501.961      0.00199      491.98       100.0        
44.83        406.0        0.00246      428.316      100.0        
44.84        380.026      0.00263      379.513      100.0        
44.85        319.27       0.00313      342.135      100.0        
44.86        319.0        0.00313      313.299      100.0        
44.87        275.0        0.00364      290.722      100.0        
44.88        283.342      0.00353      272.671      100.0        
44.89        242.0        0.00413      257.888      100.0        
44.9         250.0        0.004        245.483      100.0        
44.91        234.687      0.00426      234.844      100.0        
44.92        242.102      0.00413      225.551      100.0        
44.93        211.0        0.00474      217.319      100.0        
44.94        227.0        0.00441      209.949      100.0        
44.95        184.0        0.00543      203.299      100.0        
44.96        201.0        0.00498      197.264      100.0        
44.97        188.0        0.00532      191.763      100.0        
44.98        197.0        0.00508      186.73       100.0        
44.99        178.222      0.00561      182.111      100.0        
45.0         188.722      0.0053       177.861      100.0        
45.01        158.0        0.00633      173.941      100.0        
45.02        175.635      0.00569      170.317      100.0        
45.03        158.0        0.00633      166.96       100.0        
45.04        175.0        0.00571      163.844      100.0        
45.05        155.0        0.00645      160.946      100.0        
45.06        174.0        0.00575      158.246      100.0        
45.07        152.452      0.00656      155.726      100.0        
45.08        153.74       0.0065       153.37       100.0        
45.09        149.329      0.0067       151.165      100.0        
45.1         170.0        0.00588      149.097      100.0        
45.11        138.31       0.00723      147.155      100.0        
45.12        148.658      0.00673      145.329      100.0        
45.13        139.0        0.00719      143.61       100.0        
45.14        144.98       0.0069       141.99       100.0        
45.15        140.0        0.00714      140.461      100.0        
45.16        141.032      0.00709      139.016      100.0        
45.17        128.298      0.00779      137.649      100.0        
45.18        144.0        0.00694      136.355      100.0        
45.19        134.257      0.00745      135.128      100.0        
45.2         157.929      0.00633      133.964      100.0        
